plant,reservoir,area,scenario,mean_mw,max_mw,p95_mw,p99_mw,zero_fraction
suldal_i,suldal_1,NO2,OWN-BA+,125.87340418159962,367.0604248046875,360.1474319458008,364.8468322753906,0.15845543345543345
suldal_i,suldal_1,NO2,OW-BA,120.37919776538992,183.53285217285156,183.529296875,183.5294189453125,0.09495955433455433
suldal_i,suldal_1,NO2,OW-BA+,126.03126923080048,367.05902099609375,361.721319580078,365.4706790161133,0.1738209706959707
suldal_ii,suldal_2,NO2,B,77.07139729700367,150.2705078125,149.65032958984375,150.26730346679688,0.026346916971916972
suldal_ii,suldal_2,NO2,B+,79.47945833831439,299.7629089355469,201.1446533203125,271.7924478149414,0.026594932844932844
suldal_ii,suldal_2,NO2,N-BA,76.83254125047364,150.2684326171875,149.59359741210938,150.26730346679688,0.023492826617826618
suldal_ii,suldal_2,NO2,N-BA+,79.43317511524215,300.3895568847656,197.48268127441406,268.6888427734375,0.022863247863247862
suldal_ii,suldal_2,NO2,OWN-BA,76.64726524198348,150.43856811523438,149.79991149902344,150.267333984375,0.02757936507936508
suldal_ii,suldal_2,NO2,OWN-BA+,79.43910155053665,300.33441162109375,200.96994018554688,273.1582464599565,0.024824481074481073
suldal_ii,suldal_2,NO2,OW-BA,76.53968847860328,150.26902770996094,149.8623046875,150.267333984375,0.03378739316239316
suldal_ii,suldal_2,NO2,OW-BA+,79.44651453514174,300.1348571777344,203.53909301757812,274.912109375,0.03202457264957265
svandalsflona,svandalsflon,NO2,B,4.299822515561003,19.961986541748047,18.131431579589844,19.48882484436035,0.44086920024420023
svandalsflona,svandalsflon,NO2,B+,4.285359390418676,39.79655456542969,15.899106979370117,34.76942443847656,0.4769803113553114
svandalsflona,svandalsflon,NO2,N-BA,4.300048747879394,19.961328506469727,17.78912982940667,19.472816467285156,0.42719398656898655
svandalsflona,svandalsflon,NO2,N-BA+,4.282272937083398,39.89106369018555,15.506874084472656,35.44349067687988,0.4805212148962149
svandalsflona,svandalsflon,NO2,OWN-BA,4.290013393370029,19.976566314697266,18.253328323364258,19.534260196685793,0.4532471001221001
svandalsflona,svandalsflon,NO2,OWN-BA+,4.2737702077174005,39.937828063964844,15.886909484863281,36.052468147277835,0.49111340048840046
svandalsflona,svandalsflon,NO2,OW-BA,4.274883437618601,19.96822738647461,18.66526222229004,19.566741943359375,0.48168116605616607
svandalsflona,svandalsflon,NO2,OW-BA+,4.262144851077736,39.91682052612305,17.052660083770753,37.53602600097656,0.5166361416361417
svean,svean,NO3,B,11.461052482326826,27.0000057220459,13.128001832960274,26.99998664855957,0.0
svean,svean,NO3,B+,11.794501077925037,36.0,14.399996757507324,35.99997329711914,0.0
svean,svean,NO3,N-BA,11.231065530683823,27.000011444091797,10.800015449523926,26.999980926513672,0.0
svean,svean,NO3,N-BA+,11.474925471083585,36.0,14.399991989135742,35.99995040893555,0.0
svean,svean,NO3,OWN-BA,11.224958716749562,27.000011444091797,10.800015449523926,26.999980926513672,0.0
svean,svean,NO3,OWN-BA+,11.463451290425363,36.000038146972656,14.399991035461426,35.99995040893555,0.0
svean,svean,NO3,OW-BA,11.198504207393334,27.0000057220459,10.80001449584961,26.999977111816406,0.0
svean,svean,NO3,OW-BA+,11.389227582829047,36.0,11.55957651138305,35.755836486816406,0.0
