area,mean_price_eur_mwh,load_weighted_price_eur_mwh,price_std_eur_mwh,price_load_sum,price_sq_load_sum,load_twh,generation_twh,consumer_surplus_meur,producer_surplus_meur,societal_surplus_meur,scenario,scenario_folder,load_mode,case,hydro_uprated,is_baseline,baseline,delta_mean_price_eur_mwh,delta_pct_mean_price_eur_mwh,delta_price_std_eur_mwh,delta_pct_price_std_eur_mwh,delta_load_twh,delta_pct_load_twh,delta_generation_twh,delta_pct_generation_twh,delta_consumer_surplus_meur,delta_pct_consumer_surplus_meur,delta_producer_surplus_meur,delta_pct_producer_surplus_meur,delta_societal_surplus_meur,delta_pct_societal_surplus_meur
NO3,38.18920656025695,99.29774758660788,201.01226757974817,3278166604.200593,1659455955333.5427,33.01350417179769,26.19058176915556,29735.337567597096,1674.534635420136,31409.872203017232,B23-LLPS,BASELINE_23TWh_LLPS_FalseHYD_FalseFF_LLPSLOAD_22.91TWH_NoneNUKE_NoneOFF,LLPS,BASELINE_23TWh,False,True,B23-LLPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO3,23.27471916622743,58.434040334418754,140.6055920598843,1929115347.738055,765401739397.4487,33.013554029427084,26.08567689482861,31084.43868168903,904.1447345134724,31988.583416202502,N-BA,BA_N_FalseHYD_FalseFF_BALOAD_22.91TWH_900p8407111111112NO2-2005p0970666666665NO1NUKE_NoneOFF,BA,N,False,False,B23-BA,-9.247242035781436,-28.433838839984343,-12.682421797013916,-8.273590007404998,0.0,0.0,-0.14064112544377494,-0.536259513573588,677.9291363365337,2.2295526401193007,-472.70727722845743,-34.332468064625914,205.2218591080782,0.6456895968647792
NO3,23.45203835632117,58.74211561912803,140.72909611176078,1939286007.794936,767740586333.8235,33.013554029427084,26.09685259016898,31074.26802163215,910.9909682072125,31985.258989839363,OWN-BA,BA_OWN_FalseHYD_FalseFF_BALOAD_22.91TWH_1781p3768888888892NO1NUKE_1400NO2-500NO2OFF,BA,OWN,False,False,B23-BA,-9.069922845687696,-27.888609759264614,-12.558917745137421,-8.193020073220977,0.0,0.0,-0.12946543010340505,-0.49364699232019926,667.7584762796541,2.196103683928819,-465.8610435347173,-33.83522989847917,201.89743274493958,0.6352299532013274
NO3,24.810384659112483,61.90848496352274,146.76851417384106,2043819113.223232,837674604985.3175,33.013554029427084,26.130368091529654,30969.734916203855,966.9241031108089,31936.659019314666,OW-BA,BA_OW_FalseHYD_FalseFF_BALOAD_22.91TWH_NoneNUKE_3000NO2-500NO2-1500NO5OFF,BA,OW,False,False,B23-BA,-7.711576542896385,-23.711904995508217,-6.519499683057148,-4.2531046746704,0.0,0.0,-0.0959499287427299,-0.36585360045036686,563.2253708513599,1.852318399161493,-409.9279086311209,-29.772837250134017,153.29746222024187,0.48231985136268274
NO3,28.398497467941354,76.67264747287638,184.63895846963334,2531232767.208578,1319557680209.0818,33.01350417179769,26.063352712770197,30482.27140458911,1175.3890850786222,31657.660489667735,N-LLPS,LLPS_N_FalseHYD_FalseFF_LLPSLOAD_22.91TWH_900p8407111111112NO2-2005p0970666666665NO1NUKE_NoneOFF,LLPS,N,False,False,B23-LLPS,-9.790709092315595,-25.637372373440897,-16.373309110114832,-8.145427792668924,0.0,0.0,-0.12722905638536375,-0.4857817115586199,746.9338369920151,2.5119399949437824,-499.14555034151385,-29.808015897878377,247.7882866505024,0.7888866438199003
NO3,28.51251646200543,76.83404953546382,184.82839865491056,2536561214.875145,1322686312625.462,33.01350417179769,26.07206254874323,30476.942956922543,1178.8964791187354,31655.83943604128,OWN-LLPS,LLPS_OWN_FalseHYD_FalseFF_LLPSLOAD_22.91TWH_1781p3768888888892NO1NUKE_1400NO2-500NO2OFF,LLPS,OWN,False,False,B23-LLPS,-9.67669009825152,-25.338808972066825,-16.18386892483761,-8.051184696186237,0.0,0.0,-0.1185192204123311,-0.45252610826656103,741.6053893254466,2.494020414732341,-495.6381563014006,-29.59856104600944,245.96723302404644,0.7830889327859756
NO3,30.270146675606732,81.25165510807288,192.96743146394206,2682401854.875831,1447254614507.2642,33.01350417179769,26.10286241718747,30331.10231692186,1252.8472448127375,31583.949561734597,OW-LLPS,LLPS_OW_FalseHYD_FalseFF_LLPSLOAD_22.91TWH_NoneNUKE_3000NO2-500NO2-1500NO5OFF,LLPS,OW,False,False,B23-LLPS,-7.919059884650217,-20.736382339222224,-8.044836115806106,-4.002161764885546,0.0,0.0,-0.08771935196809011,-0.3349270846338988,595.7647493247641,2.0035580493088974,-421.6873906073986,-25.182363009266652,174.0773587173644,0.5542122476405444
NO3,21.62114893819706,53.216326724942746,126.59857227397092,1756860077.5815418,622608423578.3734,33.013554029427084,26.084997191825654,31256.69395184554,819.4891272611004,32076.183079106642,N-BA+,BA_N_UPRATE_TrueHYD_FalseFF_BALOAD_22.91TWH_900p8407111111112NO2-2005p0970666666665NO1NUKE_NoneOFF,BA,N,True,False,B23-BA,-10.900812263811808,-33.51831150680565,-26.689441582927287,-17.41130367038559,0.0,0.0,-0.14132082844673022,-0.5388511964870258,850.1844064930447,2.7960605120589768,-557.3628844808294,-40.48095799167839,292.82152201221834,0.9213044425342011
NO3,21.90253410443902,53.80451841562242,127.885734354831,1776278375.741455,635500590190.0728,33.013554029427084,26.092074115728053,31237.27565368563,831.9172908439847,32069.192944529612,OWN-BA+,BA_OWN_UPRATE_TrueHYD_FalseFF_BALOAD_22.91TWH_1781p3768888888892NO1NUKE_1400NO2-500NO2OFF,BA,OWN,True,False,B23-BA,-10.619427097569847,-32.6530956469928,-25.402279502067202,-16.571601955637224,0.0,0.0,-0.13424390454433066,-0.5118671421606457,830.7661083331332,2.7321982060914065,-544.9347208979451,-39.57830734535651,285.83138743518793,0.8993113800179106
NO3,23.399645227888616,57.32124526392729,135.80394555005728,1892378027.554705,717332921795.4136,33.013554029427084,26.122919726140772,31121.17600187238,893.2561838723128,32014.432185744692,OW-BA+,BA_OW_UPRATE_TrueHYD_FalseFF_BALOAD_22.91TWH_NoneNUKE_3000NO2-500NO2-1500NO5OFF,BA,OW,True,False,B23-BA,-9.122315974120252,-28.049710524704672,-17.484068306840925,-11.406024428735277,0.0,0.0,-0.10339829413161183,-0.39425394770126393,714.6664565198844,2.3503732168071823,-483.595827869617,-35.12329747463519,231.0706286502682,0.7270175882282989
